time,location
1364422137,in[kemeny],
1364422147,in[north-main],
1364422160,in[north-main],
1364422170,in[north-main],
1364422180,in[north-main],
1364422190,in[north-main],
1364422200,in[north-main],
1364422211,in[north-main],
1364422221,in[north-main],
1364422231,in[north-main],
1364422241,in[north-main],
1364422251,in[north-main],
1364422261,in[north-main],
1364422271,in[north-main],
1364422281,in[north-main],
1364422291,in[north-main],
1364422302,in[north-main],
1364422312,in[north-main],
1364422322,in[north-main],
1364422332,in[north-main],
1364422342,in[north-main],
1364422352,in[north-main],
1364422362,in[north-main],
1364422372,in[north-main],
1364422382,in[north-main],
1364422393,in[north-main],
1364422403,in[north-main],
1364422413,in[north-main],
1364422423,in[north-main],
1364422433,in[north-main],
1364422444,in[north-main],
1364422454,in[north-main],
1364422464,in[north-main],
1364422474,in[north-main],
1364422484,in[north-main],
1364422494,in[north-main],
1364422504,in[north-main],
1364422514,in[north-main],
1364422524,in[north-main],
1364422535,in[north-main],
1364422545,in[north-main],
1364422555,in[north-main],
1364422565,in[north-main],
1364422575,in[north-main],
1364422585,in[north-main],
1364422596,in[north-main],
1364422606,in[north-main],
1364422616,in[north-main],
1364422626,in[north-main],
1364422636,in[north-main],
1364422646,in[north-main],
1364422656,in[north-main],
1364422667,in[north-main],
1364422677,in[north-main],
1364422687,in[north-main],
1364422697,in[north-main],
1364422707,in[north-main],
1364422718,in[north-main],
1364422728,in[north-main],
1364422738,in[north-main],
1364422748,in[north-main],
1364422758,in[north-main],
1364422773,in[north-main],
1364422783,in[north-main],
1364422793,in[north-main],
1364422803,in[north-main],
1364422813,in[north-main],
1364422823,in[north-main],
1364422833,in[north-main],
1364422843,in[north-main],
1364422854,in[north-main],
1364422864,in[north-main],
1364422874,in[north-main],
1364422884,in[north-main],
1364422894,in[north-main],
1364422905,in[north-main],
1364422915,in[north-main],
1364422925,in[north-main],
1364422935,in[north-main],
1364422945,in[north-main],
1364422955,in[north-main],
1364422965,in[north-main],
1364422976,in[north-main],
1364422986,in[north-main],
1364422996,in[north-main],
1364423006,in[north-main],
1364423016,in[north-main],
1364423027,in[north-main],
1364423037,in[north-main],
1364423047,in[north-main],
1364423057,in[north-main],
1364423067,in[north-main],
1364423077,in[north-main],
1364423087,in[north-main],
1364423098,in[north-main],
1364423108,in[north-main],
1364423118,in[north-main],
1364423128,in[north-main],
1364423138,in[north-main],
1364423148,in[north-main],
1364423158,in[north-main],
1364423168,in[north-main],
1364423179,in[north-main],
1364423189,in[north-main],
1364423199,in[north-main],
1364423209,in[north-main],
1364423219,in[north-main],
1364423230,in[north-main],
1364423240,in[north-main],
1364423250,in[north-main],
1364423260,in[north-main],
1364423270,in[north-main],
1364423280,in[north-main],
1364423290,in[north-main],
1364423301,in[north-main],
1364423311,in[north-main],
1364423321,in[north-main],
1364423331,in[north-main],
1364423342,in[north-main],
1364423352,in[north-main],
1364423362,in[north-main],
1364423372,in[north-main],
1364423382,in[north-main],
1364423392,in[north-main],
1364423402,in[north-main],
1364423413,in[north-main],
1364423423,in[north-main],
1364423433,in[north-main],
1364423443,in[north-main],
1364423453,in[north-main],
1364423464,in[north-main],
1364423474,in[north-main],
1364423484,in[north-main],
1364423494,in[north-main],
1364423504,in[north-main],
1364423514,in[north-main],
1364423524,in[north-main],
1364423535,in[north-main],
1364423545,in[north-main],
1364423555,in[north-main],
1364423565,in[north-main],
1364423575,in[north-main],
1364423586,in[north-main],
1364423596,in[north-main],
1364423606,in[north-main],
1364423616,in[north-main],
1364423626,in[north-main],
1364423636,in[north-main],
1364423647,in[north-main],
1364423657,in[north-main],
1364423667,in[north-main],
1364423677,in[north-main],
1364423687,in[north-main],
1364423697,in[north-main],
1364423707,in[north-main],
1364423718,in[north-main],
1364423728,in[north-main],
1364423738,in[north-main],
1364423748,in[north-main],
1364423758,in[north-main],
1364423769,in[north-main],
1364423779,in[north-main],
1364423789,in[north-main],
1364423799,in[north-main],
1364423809,in[north-main],
1364423819,in[north-main],
1364423829,in[north-main],
1364423839,in[north-main],
1364423850,in[north-main],
1364423860,in[north-main],
1364423870,in[north-main],
1364423880,in[north-main],
1364423890,in[north-main],
1364423901,in[north-main],
1364423911,in[north-main],
1364423921,in[north-main],
1364423931,in[north-main],
1364423941,in[north-main],
1364423951,in[north-main],
1364423961,in[north-main],
1364423972,in[north-main],
1364423982,in[north-main],
1364423992,in[north-main],
1364424002,in[north-main],
1364424013,in[north-main],
1364424023,in[north-main],
1364424033,in[north-main],
1364424043,in[north-main],
1364424053,in[north-main],
1364424063,in[north-main],
1364424073,in[north-main],
1364424084,in[north-main],
1364424094,in[north-main],
1364424104,in[north-main],
1364424114,in[north-main],
1364424124,in[north-main],
1364424135,in[north-main],
1364424145,in[north-main],
1364424155,in[north-main],
1364424165,in[north-main],
1364424175,in[north-main],
1364424185,in[north-main],
1364424196,in[north-main],
1364424206,in[north-main],
1364424216,in[north-main],
1364424226,in[north-main],
1364424236,in[north-main],
1364424246,in[north-main],
1364424257,in[north-main],
1364424267,in[north-main],
1364424277,in[north-main],
1364424287,in[north-main],
1364424297,in[north-main],
1364424307,in[north-main],
1364424341,in[north-main],
1364424351,in[north-main],
1364424361,in[north-main],
1364424371,in[north-main],
1364424381,in[north-main],
1364424391,in[north-main],
1364424402,in[north-main],
1364424412,in[north-main],
1364424422,in[north-main],
1364424432,in[north-main],
1364424442,in[north-main],
1364424453,in[north-main],
1364424463,in[north-main],
1364424473,in[north-main],
1364424483,in[north-main],
1364424510,in[north-main],
1364424530,in[north-main],
1364424550,in[north-main],
1364424570,in[north-main],
1364424590,in[north-main],
1364424606,in[north-main],
1364424616,in[north-main],
1364424626,in[north-main],
1364424647,in[north-main],
1364424675,in[north-main],
1364424695,in[north-main],
1364424715,in[north-main],
1364424735,in[north-main],
1364424755,in[north-main],
1364424775,in[north-main],
1364424795,in[north-main],
1364424815,in[north-main],
1364424835,in[north-main],
1364424855,in[north-main],
1364424876,in[north-main],
1364424896,in[north-main],
1364424916,in[north-main],
1364424936,in[north-main],
1364424956,in[north-main],
1364425017,in[north-main],
1364425037,in[north-main],
1364425057,in[north-main],
1364425077,in[north-main],
1364425098,in[north-main],
1364425118,in[north-main],
1364425138,in[north-main],
1364425158,in[north-main],
1364425179,in[north-main],
1364425199,in[north-main],
1364425219,in[north-main],
1364425239,in[north-main],
1364425254,in[north-main],
1364425265,in[north-main],
1364425275,in[north-main],
1364425285,in[north-main],
1364425295,in[north-main],
1364425306,in[north-main],
1364425316,in[north-main],
1364425326,in[north-main],
1364425336,in[north-main],
1364425346,in[north-main],
1364425357,in[north-main],
1364425367,in[north-main],
1364425377,in[north-main],
1364425387,in[north-main],
1364425397,in[north-main],
1364425408,in[north-main],
1364425418,in[north-main],
1364425428,in[north-main],
1364425438,in[north-main],
1364425448,in[north-main],
1364425458,in[north-main],
1364425469,in[north-main],
1364425479,in[north-main],
1364425489,in[north-main],
1364425499,in[north-main],
1364425509,in[north-main],
1364425519,in[north-main],
1364425530,in[north-main],
1364425540,in[north-main],
1364425550,in[north-main],
1364425560,in[north-main],
1364425570,in[north-main],
1364425580,in[north-main],
1364425590,in[north-main],
1364425601,in[north-main],
1364425611,in[north-main],
1364425621,in[north-main],
1364425631,in[north-main],
1364425641,in[north-main],
